age,income,employment_years,loan_amount,loan_term,credit_score,existing_loans,dependents,gender,education,home_ownership,loan_purpose,marital_status,interest_rate,loan_approved
51.2,128862.2,22.7,23021.7,77.2,425.8,3.4,0.9,Female,Master,Mortgage,Education,Single,7.055,0
35.0,151332.6,29.9,25981.9,294.1,655.2,5.5,1.8,Female,Bachelor,Own,Business,Married,2.989,1
56.5,129566.2,29.7,15574.0,155.1,569.8,3.4,1.6,Female,High School,Own,Home,Married,4.163,1
58.8,198359.1,16.4,,177.3,521.0,4.5,2.5,Male,PhD,Own,Education,Married,5.465,0
25.0,170042.6,21.6,26958.4,205.7,552.4,3.8,2.6,Male,Master,Own,Personal,Single,4.708,1
31.9,109236.5,5.1,19437.8,78.8,668.3,4.1,1.2,Male,High School,Rent,Personal,Divorced,4.032,1
49.0,108869.0,20.8,,215.6,640.8,4.1,3.8,Male,Master,Mortgage,Education,Single,3.729,1
43.7,136439.4,13.6,33222.7,149.4,563.5,3.3,2.3,Male,Bachelor,Own,Car,Divorced,4.775,0
47.3,90669.3,18.5,20445.6,206.5,472.5,2.2,4.3,Male,High School,Own,Car,Married,6.22,1
37.3,,,34698.5,136.8,478.8,5.1,2.8,Male,High School,Own,Home,Divorced,6.283,0
58.1,132656.0,23.2,25727.8,57.2,642.8,6.4,2.6,Female,,Mortgage,Personal,Single,3.568,0
56.8,128976.1,6.4,27858.1,148.8,,6.5,1.9,Male,High School,Rent,Car,Single,7.502,0
48.3,144043.4,21.2,23808.0,234.3,564.4,3.2,3.2,Male,Master,Mortgage,Personal,Single,4.531,0
61.0,180299.0,10.2,4258.7,214.5,816.3,2.9,2.5,Female,High School,Mortgage,Home,Divorced,2.0,1
53.1,125983.4,13.2,16405.7,185.5,616.4,3.2,3.5,Male,High School,Own,Car,Single,3.408,1
37.2,116043.6,29.2,24494.3,254.9,,3.7,4.4,Female,High School,Rent,Car,Married,4.074,1
51.9,172805.2,24.7,28417.8,166.7,479.5,3.9,1.6,Male,Master,Mortgage,Personal,Single,6.72,1
36.0,513058.6807290519,29.2,86210.8692653161,187.5,359.79958955159384,2.5,3.2,Female,Master,Own,Home,Single,6.488,1
58.0,108765.7,32.5,25071.2,144.6,646.6,1.8,3.2,Male,PhD,Own,Education,Divorced,3.777,1
46.9,120181.5,13.8,16521.9,259.5,549.6,4.1,3.0,Male,Bachelor,Rent,Education,Single,5.49,0
45.3,126838.3,32.0,27377.0,206.3,680.6,0.0,2.0,Female,,Rent,Car,Divorced,3.674,1
39.3,132663.5,8.3,25344.8,138.4,587.9,3.8,2.0,Male,Bachelor,Mortgage,Personal,Divorced,4.389,0
62.2,72519.0,26.0,31448.0,63.9,850.0,2.6,1.8,Female,Master,Mortgage,Business,Divorced,2.0,1
45.6,340587.69211372075,16.1,148540.36629891145,271.4,347.49557878589286,5.2,1.8,Male,PhD,Own,Home,Married,6.469,1
42.4,88941.3,12.6,29171.9,123.5,610.0,5.6,1.5,Male,Master,Own,Business,Divorced,4.67,0
43.3,86234.2,24.9,32383.1,188.8,503.5,5.6,2.4,Female,Bachelor,Mortgage,Business,Divorced,6.319,0
53.9,97466.2,27.6,22697.3,360.0,676.9,3.5,1.6,Male,PhD,Own,Business,Divorced,3.263,1
51.9,142214.9,27.3,48084.9,247.1,623.6,2.3,3.0,Female,Master,Rent,Home,Married,4.564,1
52.5,114087.5,21.7,15749.4,311.9,,2.8,2.6,Male,PhD,Mortgage,Car,Married,6.222,1
52.7,126873.8,21.1,21278.0,140.0,555.4,4.4,2.7,Male,Master,Rent,Personal,Divorced,5.18,1
